u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,36,25,20,0,30,75.0,-1.42,-0.4725274725274724,-0.5299999999999994,0.0870547891824488,0.04352739459122438,0.0870547891824488,-0.18954095549840222,-1.7424908424908423,0.17717449112797926,-1.82,-0.08653846153746148
0,41,25,27,1,24,81.0,-1.4355555555555557,-0.45604395604395576,-0.5096296296296297,0.0742775742775742,0.03713878713878714,0.11141636141636134,-0.3330280830280832,-1.6679894179894184,0.1805056999723876,-1.845925925925926,-0.1751322751312765
0,118,25,20,0,24,50.0,-1.34,-0.4523809523809521,-0.5099999999999998,0.0870547891824488,0.04352739459122438,0.0870547891824488,-0.3172005299664874,-1.7424908424908423,0.2015423294493063,-1.82,0.014615384616384564
0,126,25,28,0,46,84.0,-1.3009523809523809,-0.3023872679045094,-0.3442857142857141,0.07316132143718357,0.036580660718591756,0.07316132143718357,-0.01774776947190737,-1.7814513073133762,0.22148006942932624,-1.8485714285714285,0.23727422003383847
0,133,25,15,0,24,75.0,-1.4666666666666666,-0.4807692307692306,-0.533333333333333,0.10668498168498164,0.05334249084249085,0.10668498168498164,-0.22664835164835173,-1.6990384615384615,0.14686338551638656,-1.7866666666666666,-0.16717948717848846
0,170,25,24,0,22,50.0,-1.3966666666666667,-0.4953846153846153,-0.5549999999999997,0.07849170437405728,0.03924585218702867,0.07849170437405728,-0.4117043740573152,-1.7647384615384614,0.194584164426329,-1.8366666666666667,-0.07442307692207811
0,187,25,20,0,28,50.0,-1.26,-0.4725274725274724,-0.5299999999999996,0.0870547891824488,0.04352739459122438,0.0870547891824488,-0.23209414698776398,-1.7424908424908423,0.22591016777063191,-1.82,0.07346153846253856
0,226,25,27,0,42,81.0,-1.3274074074074074,-0.44780219780219666,-0.5007407407407407,0.0742775742775742,0.03713878713878714,0.0742775742775742,-0.07387057387057394,-1.7776760276760277,0.21526623351008928,-1.845925925925926,0.05566137566237617
0,249,25,24,0,20,50.0,-1.4366666666666665,-0.5723076923076924,-0.6349999999999998,0.07849170437405728,0.03924585218702867,0.07849170437405728,-0.450920060331825,-1.7647384615384614,0.18157575231983356,-1.8366666666666667,-0.19455128205028294
0,267,25,24,2,28,100.0,-1.3133333333333332,-0.41538461538461546,-0.4716666666666667,0.07849170437405728,0.03924585218702867,0.15698340874811462,-0.1371342383107088,-1.5311384615384613,0.2216850229815282,-1.8366666666666667,-0.1510897435887455
