u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,1,2,3,0,2,3.0,0.33333333333333315,0.25,0.0,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.45238095238095233,-0.3055555555555556,0.5892857142857142,-0.3333333333333335,1.4999999999999996
0,28,2,3,0,2,3.0,0.33333333333333315,0.2500000000000001,0.0,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.45238095238095233,-0.3055555555555556,0.5892857142857142,-0.3333333333333335,1.4999999999999996
1,2,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
1,29,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
2,3,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
2,30,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
3,4,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
3,31,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
4,5,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
4,32,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
5,6,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
5,33,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
6,7,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
6,34,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
7,8,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
7,35,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
8,9,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
8,36,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
9,10,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
9,37,3,4,0,4,4.0,0.16666666666666652,0.15000000000000013,0.0,0.4555555555555556,0.2277777777777778,0.4555555555555556,0.34444444444444444,-0.675,0.5935483870967742,-0.8333333333333335,1.2777777777794435
10,11,3,3,0,2,3.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.25,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
