u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,6,17,24,10,74,384.0,-0.1847426470588235,0.46444444444444444,0.41666666666666674,0.09808785529715758,0.04904392764857882,0.5885271317829457,0.48,-0.37203703703703705,0.528390962587517,-0.7371123370317569,0.6681985294117646
0,13,17,60,11,92,2100.0,-0.7914845938375351,0.1320582877959926,0.14803921568627454,0.09326508496460761,0.04663254248230385,0.60622305226995,0.21311475409836056,-0.8280510018214935,0.21989638574758547,-1.7723551225187233,-0.33070028011204483
0,23,17,16,10,26,204.0,0.17156862745098045,0.6241830065359477,0.5882352941176471,0.11447245564892616,0.057236227824463116,0.6868347338935573,0.6666666666666666,0.038398692810457574,0.6955119279680678,-0.15307432108242924,0.7918108419848502
0,24,17,30,12,52,510.0,-0.20784313725490197,0.4283154121863799,0.4,0.0939945870821447,0.04699729354107234,0.6579621095750128,0.4516129032258064,-0.31589008363201904,0.4751932265491544,-0.9229968719005113,0.2941176470588235
0,28,17,35,10,66,945.0,-0.5957049486461252,0.3055555555555556,0.2857142857142858,0.09259259259259267,0.046296296296296294,0.5555555555555556,0.3333333333333334,-0.6563492063492065,0.3467306812985825,-1.2917647058823531,0.10009337068160609
0,29,17,28,11,76,560.0,-0.24243697478991597,0.42720306513409967,0.3928571428571429,0.09497024537376708,0.047485122686883506,0.6173065949294857,0.4482758620689655,-0.37821565407772284,0.4804869647813397,-0.8996068813791612,0.40882352941176436
0,47,17,19,9,52,209.0,-0.051505769772023785,0.4833333333333335,0.4613003095975232,0.10584795321637419,0.05292397660818714,0.5821637426900584,0.5499999999999998,-0.28918128654970765,0.6150968721463698,-0.6067256213331502,0.7634237107931301
0,50,17,63,11,84,2331.0,-0.8183057006586419,0.1614583333333337,0.17460317460317465,0.09358062330623307,0.04679031165311653,0.6082740514905148,0.203125,-0.8468088624338623,0.2084038466305091,-1.7192195731988114,-0.3654578948696597
0,54,17,29,4,108,580.0,-1.1160243407707913,-0.022222222222222143,-0.04665314401622722,0.09444444444444433,0.047222222222222214,0.2833333333333332,0.19999999999999993,-1.2521072796934867,0.23930178432893692,-1.8133874239350913,0.18620689655272268
0,57,17,43,7,176,1204.0,-0.952315810044948,0.161616161616162,0.16279069767441867,0.09204952753339846,0.046024763766699256,0.4142228739002932,0.20454545454545447,-1.0702959830866805,0.23289510098005844,-1.6766267568974482,-0.004299394176275062
