u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,386,3,6,0,0,1.0,-1.0,-0.8214285714285714,-1.0,0.42207792207792205,0.21103896103896103,0.42207792207792205,-0.2142857142857143,-0.8571428571428574,-0.2142857142857143,-1.0,-0.952380952379953
0,395,3,5,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333331,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
0,451,3,3,0,0,1.0,-0.6666666666666667,-0.5,-0.6666666666666665,0.5,0.25,0.5,0.0,-0.5000000000000001,0.0,-0.6666666666666667,-0.6666666666666667
1,3553,4,3,0,0,1.0,-0.8333333333333335,-0.6500000000000001,-0.8333333333333333,0.4555555555555556,0.2277777777777778,0.4555555555555556,-0.09999999999999998,-0.675,-0.09999999999999998,-0.8333333333333335,-0.7999999999990002
1,3586,4,2,0,2,4.0,0.0,2.220446049250313e-16,0.0,0.5666666666666667,0.2833333333333333,0.5666666666666667,0.31666666666666665,-0.4666666666666667,0.47142857142857136,-0.5,0.8333333333353332
1,3587,4,2,0,2,4.0,0.0,2.220446049250313e-16,0.0,0.5666666666666667,0.2833333333333333,0.5666666666666667,0.31666666666666665,-0.4666666666666667,0.47142857142857136,-0.5,0.8333333333353332
1,3637,4,3,0,0,1.0,-0.8333333333333335,-0.6500000000000001,-0.8333333333333335,0.4555555555555556,0.2277777777777778,0.4555555555555556,-0.09999999999999998,-0.675,-0.09999999999999998,-0.8333333333333335,-0.7999999999990002
2,3583,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
3,4930,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
4,88,1,8,0,0,1.0,0.0,-0.16666666666666674,0.0,0.8585858585858586,0.42929292929292934,0.8585858585858586,0.2222222222222222,-0.3888888888888889,0.2222222222222222,0.0,0.25
5,13,2,5,0,0,1.0,-0.6000000000000001,-0.5,-0.5999999999999999,0.5555555555555556,0.2777777777777778,0.5555555555555556,-5.551115123125783e-17,-0.5666666666666667,-5.551115123125783e-17,-0.6000000000000001,-0.49999999999900047
5,120,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
6,8,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
7,8,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
8,9,3,6,0,0,1.0,-1.0,-0.8214285714285716,-1.0,0.42207792207792205,0.21103896103896103,0.42207792207792205,-0.2142857142857143,-0.8571428571428574,-0.2142857142857143,-1.0,-0.952380952379953
9,10,6,2,0,2,6.0,-0.3333333333333334,-0.2857142857142856,-0.33333333333333326,0.5523809523809523,0.27619047619047615,0.5523809523809523,0.15238095238095234,-0.634920634920635,0.3296703296703295,-0.6666666666666667,0.19047619047718994
9,61,6,3,0,2,6.0,-0.6666666666666667,-0.5357142857142856,-0.6666666666666665,0.42207792207792205,0.21103896103896103,0.42207792207792205,-0.03246753246753248,-0.8571428571428574,0.3229813664596273,-1.0,-0.23809523809423777
9,75,6,2,0,0,1.0,-0.6666666666666667,-0.5714285714285714,-0.6666666666666665,0.5523809523809523,0.27619047619047615,0.5523809523809523,-0.04761904761904767,-0.634920634920635,-0.04761904761904767,-0.6666666666666667,-0.5714285714275719
9,205,6,7,0,4,7.0,-0.8095238095238095,-0.5714285714285714,-0.6666666666666663,0.269047619047619,0.13452380952380952,0.269047619047619,-0.19761904761904764,-1.2015306122448979,0.3485169491525422,-1.380952380952381,-0.0744047619037631
9,208,6,2,0,0,1.0,-0.6666666666666667,-0.4285714285714284,-0.5,0.5523809523809523,0.27619047619047615,0.5523809523809523,-0.04761904761904767,-0.634920634920635,-0.04761904761904767,-0.6666666666666667,-0.3571428571418569
10,50,2,3,0,2,3.0,0.33333333333333315,0.25,1.1102230246251565e-16,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.45238095238095233,-0.3055555555555556,0.5892857142857142,-0.3333333333333335,1.4999999999999996
11,94,2,7,0,0,1.0,-0.7142857142857144,-0.6249999999999998,-0.7142857142857142,0.553030303030303,0.2765151515151515,0.553030303030303,-0.08333333333333337,-0.6845238095238095,-0.08333333333333337,-0.7142857142857144,-0.6249999999990004
11,125,2,3,0,0,1.0,-0.3333333333333335,-0.24999999999999978,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
12,13,1,5,0,0,1.0,0.0,1.1102230246251565e-16,0.0,0.8333333333333334,0.41666666666666663,0.8333333333333334,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.0,0.3999999999999999
13,14,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
13,15,5,1,0,0,1.0,0.0,1.1102230246251565e-16,0.0,0.8333333333333334,0.41666666666666663,0.8333333333333334,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.0,0.3999999999999999
13,83,5,3,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333333,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
14,16,5,1,0,0,1.0,0.0,1.1102230246251565e-16,0.0,0.8333333333333334,0.41666666666666663,0.8333333333333334,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.0,0.3999999999999999
14,17,5,1,0,0,1.0,0.0,1.1102230246251565e-16,0.0,0.8333333333333334,0.41666666666666663,0.8333333333333334,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.0,0.3999999999999999
14,29,5,3,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333331,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
14,147,5,2,0,0,1.0,-0.6000000000000001,-0.5,-0.6000000000000003,0.5555555555555556,0.2777777777777778,0.5555555555555556,-5.551115123125783e-17,-0.5666666666666667,-5.551115123125783e-17,-0.6000000000000001,-0.49999999999900047
18,19,2,3,0,0,1.0,-0.3333333333333335,-0.24999999999999978,-0.33333333333333304,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
18,190,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
19,20,3,2,0,0,1.0,-0.3333333333333335,-0.24999999999999978,-0.33333333333333304,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
19,130,3,2,0,0,1.0,-0.3333333333333335,-0.25,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
20,199,2,4,0,0,1.0,-0.5,-0.3999999999999997,-0.5,0.5666666666666667,0.2833333333333333,0.5666666666666667,0.06666666666666665,-0.4666666666666667,0.06666666666666665,-0.5,-0.39999999999900027
21,51,2,3,0,0,1.0,-0.3333333333333335,-0.24999999999999978,-0.33333333333333304,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
21,176,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
22,4445,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
23,4446,1,6,0,0,1.0,0.0,-0.07142857142857117,1.1102230246251565e-16,0.8412698412698413,0.4206349206349206,0.8412698412698413,0.2857142857142857,-0.35714285714285715,0.2857142857142857,0.0,0.3333333333333335
24,53,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
24,4461,2,6,0,0,1.0,-0.6666666666666667,-0.5714285714285712,-0.6666666666666667,0.5523809523809523,0.27619047619047615,0.5523809523809523,-0.04761904761904767,-0.634920634920635,-0.04761904761904767,-0.6666666666666667,-0.5714285714275712
25,58,2,4,0,0,1.0,-0.5,-0.3999999999999999,-0.5,0.5666666666666667,0.2833333333333333,0.5666666666666667,0.06666666666666665,-0.4666666666666667,0.06666666666666665,-0.5,-0.39999999999900027
25,136,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
26,94,4,7,1,0,7.0,-0.6785714285714287,-0.575,-0.6785714285714284,0.3423076923076923,0.17115384615384616,0.5134615384615384,-0.024999999999999967,-0.6178571428571431,0.3423366834170854,-1.2142857142857144,-0.6249999999990001
26,131,4,3,2,0,1.0,0.833333333333333,0.6500000000000001,0.5,0.4555555555555556,0.2277777777777778,0.9111111111111112,0.8,0.35000000000000003,0.8,-0.12195121951219512,0.833333333333333
26,139,4,5,1,0,5.0,-0.45000000000000007,-0.3666666666666667,-0.44999999999999996,0.3696969696969697,0.18484848484848487,0.5545454545454546,0.1,-0.3933333333333334,0.43209876543209874,-1.1,-0.4166666666656681
26,203,4,1,0,0,1.0,0.0,0.09999999999999998,0.0,0.8285714285714285,0.41428571428571426,0.8285714285714285,0.4,-0.3,0.4,0.0,0.5
27,161,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
27,166,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
28,98,1,9,0,0,1.0,0.0,-0.20000000000000018,2.220446049250313e-16,0.8666666666666667,0.43333333333333335,0.8666666666666667,0.20000000000000007,-0.4,0.20000000000000007,0.0,0.22222222222222232
29,130,3,2,0,0,1.0,-0.3333333333333335,-0.25,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
29,160,3,1,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
30,123,2,5,1,0,1.0,0.29999999999999993,0.16666666666666674,0.09999999999999998,0.5555555555555556,0.2777777777777778,0.8333333333333334,0.4999999999999999,-0.08333333333333329,0.4999999999999999,-0.6000000000000001,0.29999999999999993
30,140,2,7,1,0,1.0,0.07142857142857129,-0.04166666666666652,-0.07142857142857117,0.553030303030303,0.2765151515151515,0.8295454545454545,0.37499999999999994,-0.25595238095238093,0.37499999999999994,-0.7142857142857144,0.07142857142857129
