u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
1,231,2,5,0,0,1.0,-0.6000000000000001,-0.5,-0.5999999999999999,0.5555555555555556,0.2777777777777778,0.5555555555555556,-5.551115123125783e-17,-0.5666666666666667,-5.551115123125783e-17,-0.6000000000000001,-0.49999999999900047
1,236,2,8,0,0,1.0,-0.75,-0.6666666666666667,-0.75,0.5555555555555555,0.2777777777777778,0.5555555555555555,-0.11111111111111116,-0.7222222222222222,-0.11111111111111116,-0.75,-0.6666666666656671
3,281,1,5,0,0,1.0,0.0,1.1102230246251565e-16,0.0,0.8333333333333334,0.41666666666666663,0.8333333333333334,0.33333333333333337,-0.33333333333333337,0.33333333333333337,0.0,0.3999999999999999
4,429,3,3,0,4,6.0,-1.1102230246251565e-16,0.0,0.0,0.5,0.25,0.5,0.5,-0.5000000000000001,0.5,-0.6666666666666667,0.666666666667666
4,545,3,16,0,0,1.0,-1.2083333333333335,-1.073529411764706,-1.208333333333333,0.427170868347339,0.2135854341736695,0.427170868347339,-0.38235294117647056,-1.0974264705882355,-0.38235294117647056,-1.2083333333333335,-1.176470588234294
4,572,3,11,0,4,22.0,-0.9696969696969697,-0.5833333333333333,-0.6363636363636362,0.41666666666666663,0.20833333333333331,0.41666666666666663,-0.08333333333333337,-1.0303030303030305,0.18565400843881852,-1.1515151515151516,-0.3737373737363739
5,11,12,4,0,8,24.0,-1.0000000000000002,-0.7076923076923078,-0.8333333333333333,0.33162393162393167,0.16581196581196583,0.33162393162393167,-0.0017094017094017033,-1.1897435897435897,0.2035318766836277,-1.3333333333333335,-0.3974358974348983
5,24,12,9,0,8,24.0,-1.277777777777778,-1.0692307692307694,-1.1666666666666665,0.17993311036789306,0.0899665551839465,0.17993311036789306,-0.29832775919732435,-1.473076923076923,0.21114675818846537,-1.6111111111111112,-0.8290598290588311
5,97,12,5,0,10,24.0,-1.0166666666666666,-0.6538461538461537,-0.7666666666666666,0.27665317139001355,0.13832658569500675,0.27665317139001355,0.013495276653171406,-1.284188034188034,0.22583753755456032,-1.4333333333333333,-0.26025641025541085
5,133,12,3,0,2,12.0,-1.0,-0.8653846153846152,-1.0,0.418552036199095,0.20927601809954752,0.418552036199095,-0.22850678733031674,-1.048076923076923,0.17066334475241363,-1.1666666666666667,-0.7564102564092564
5,174,12,1,0,0,1.0,0.0,-0.2692307692307694,0.0,0.8871794871794871,0.44358974358974357,0.8871794871794871,0.15384615384615385,-0.4230769230769231,0.15384615384615385,0.0,0.16666666666666652
5,484,12,3,0,6,24.0,-0.9166666666666667,-0.7115384615384615,-0.8333333333333333,0.418552036199095,0.20927601809954752,0.418552036199095,0.006787330316742113,-1.0480769230769231,0.18436624104640292,-1.1666666666666667,-0.46794871794771775
5,511,12,4,0,8,24.0,-1.0000000000000002,-0.7076923076923078,-0.8333333333333333,0.33162393162393167,0.16581196581196583,0.33162393162393167,-0.0017094017094017033,-1.1897435897435897,0.2035318766836277,-1.3333333333333335,-0.3974358974348983
5,537,12,3,0,2,12.0,-1.0,-0.8653846153846152,-1.0,0.418552036199095,0.20927601809954752,0.418552036199095,-0.22850678733031674,-1.048076923076923,0.17066334475241363,-1.1666666666666667,-0.7564102564092564
