u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
0,1,4,5,0,0,1.0,-1.1,-0.8999999999999997,-1.0999999999999996,0.3696969696969697,0.18484848484848487,0.3696969696969697,-0.26666666666666666,-0.9133333333333334,-0.26666666666666666,-1.1,-1.083333333332334
0,2,4,5,0,0,1.0,-1.1,-0.8999999999999999,-1.1,0.3696969696969697,0.18484848484848487,0.3696969696969697,-0.26666666666666666,-0.9133333333333334,-0.26666666666666666,-1.1,-1.083333333332334
0,3,4,5,0,0,1.0,-1.1,-0.8999999999999999,-1.1,0.3696969696969697,0.18484848484848487,0.3696969696969697,-0.26666666666666666,-0.9133333333333334,-0.26666666666666666,-1.1,-1.083333333332334
0,4,4,5,0,0,1.0,-1.1,-0.9000000000000001,-1.1,0.3696969696969697,0.18484848484848487,0.3696969696969697,-0.26666666666666666,-0.9133333333333334,-0.26666666666666666,-1.1,-1.083333333332334
1,5,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
1,6,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
1,7,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
1,8,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
2,9,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
2,10,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
2,11,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
2,12,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
3,13,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
3,14,5,5,0,0,1.0,-1.2,-1.0,-1.2000000000000002,0.33333333333333326,0.16666666666666666,0.33333333333333326,-0.33333333333333337,-1.0000000000000002,-0.33333333333333337,-1.2,-1.2
